epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,88749.3,0.92752,0.65322,1.22809,0.90341,0.89186,0.92824,0.72754,0.79223,0.46185,1.13141,0.0077032,0.0077032,0.0077032
118,89516,0.92695,0.65046,1.22741,0.91151,0.89135,0.92806,0.72766,0.7919,0.4569,1.13083,0.0076834,0.0076834,0.0076834
119,90281.8,0.92339,0.65153,1.22375,0.91386,0.88707,0.92718,0.72624,0.79133,0.45991,1.13115,0.0076636,0.0076636,0.0076636
120,91046.9,0.92238,0.64826,1.22474,0.90856,0.88861,0.92692,0.72734,0.79058,0.46047,1.12972,0.0076438,0.0076438,0.0076438
121,91809.4,0.92687,0.64457,1.22479,0.90871,0.88994,0.92758,0.72635,0.7891,0.46091,1.12803,0.007624,0.007624,0.007624
122,92574.6,0.92688,0.65072,1.22681,0.90156,0.88852,0.92716,0.72568,0.78778,0.46128,1.12828,0.0076042,0.0076042,0.0076042
123,113144,0.92148,0.64894,1.22503,0.91174,0.87939,0.92707,0.72541,0.78882,0.46144,1.1285,0.0075844,0.0075844,0.0075844
124,113911,0.92245,0.64709,1.22472,0.91574,0.87939,0.92704,0.72476,0.78961,0.46247,1.1285,0.0075646,0.0075646,0.0075646
125,114669,0.91981,0.64214,1.22305,0.91516,0.87939,0.92672,0.72522,0.7883,0.46115,1.12807,0.0075448,0.0075448,0.0075448
126,115433,0.91946,0.64672,1.22415,0.91103,0.8817,0.92688,0.72421,0.78774,0.46225,1.12807,0.007525,0.007525,0.007525
127,116195,0.92179,0.64392,1.22376,0.90476,0.88332,0.92761,0.72521,0.78716,0.46066,1.12915,0.0075052,0.0075052,0.0075052
128,116957,0.91892,0.64258,1.22221,0.92324,0.86993,0.92716,0.7251,0.78671,0.46092,1.12933,0.0074854,0.0074854,0.0074854
129,117718,0.91766,0.64002,1.22016,0.92179,0.86812,0.92709,0.72352,0.78754,0.46017,1.13055,0.0074656,0.0074656,0.0074656
130,118479,0.91711,0.64405,1.22209,0.92133,0.86763,0.92742,0.72567,0.78727,0.4598,1.12899,0.0074458,0.0074458,0.0074458
131,119239,0.92012,0.64363,1.22,0.908,0.88114,0.92671,0.72385,0.78694,0.45676,1.1283,0.007426,0.007426,0.007426
132,119999,0.91913,0.64097,1.22209,0.90261,0.88655,0.92517,0.723,0.78648,0.45587,1.12857,0.0074062,0.0074062,0.0074062
133,120757,0.91801,0.64027,1.21973,0.90136,0.89076,0.92453,0.72399,0.78754,0.45589,1.12811,0.0073864,0.0073864,0.0073864
134,121518,0.9187,0.63974,1.21955,0.89931,0.88846,0.92404,0.72427,0.7871,0.45896,1.12821,0.0073666,0.0073666,0.0073666
135,122278,0.91451,0.63925,1.21891,0.89883,0.89236,0.92428,0.72388,0.788,0.45909,1.12922,0.0073468,0.0073468,0.0073468
136,123036,0.91832,0.63714,1.21825,0.8946,0.89833,0.92516,0.72553,0.78597,0.4594,1.12766,0.007327,0.007327,0.007327
137,123796,0.91474,0.63538,1.21675,0.89884,0.8949,0.92496,0.72285,0.78686,0.46165,1.1278,0.0073072,0.0073072,0.0073072
138,124554,0.91447,0.636,1.21747,0.89682,0.89403,0.9248,0.72327,0.78868,0.46129,1.12882,0.0072874,0.0072874,0.0072874
139,125314,0.91613,0.63813,1.21777,0.89186,0.89807,0.92327,0.72126,0.79151,0.46301,1.13129,0.0072676,0.0072676,0.0072676
140,126075,0.91302,0.63662,1.21535,0.88193,0.90073,0.92274,0.72212,0.79319,0.46664,1.13117,0.0072478,0.0072478,0.0072478
141,126832,0.90839,0.63323,1.21314,0.89753,0.89205,0.92238,0.72206,0.79508,0.46451,1.13214,0.007228,0.007228,0.007228
142,127593,0.9154,0.63476,1.21973,0.89218,0.89047,0.92136,0.72256,0.79445,0.46428,1.13046,0.0072082,0.0072082,0.0072082
143,128352,0.91249,0.63618,1.21712,0.88759,0.89543,0.92158,0.72312,0.79325,0.46519,1.12966,0.0071884,0.0071884,0.0071884
144,129112,0.91145,0.63556,1.21535,0.88647,0.89567,0.92163,0.72422,0.79347,0.46452,1.12871,0.0071686,0.0071686,0.0071686
145,129871,0.91323,0.63328,1.21867,0.88583,0.89508,0.92229,0.72256,0.7921,0.4638,1.12848,0.0071488,0.0071488,0.0071488
146,130632,0.90762,0.62638,1.21485,0.88482,0.8967,0.92192,0.72179,0.79192,0.46661,1.12989,0.007129,0.007129,0.007129
147,131392,0.90822,0.62855,1.2142,0.88956,0.89278,0.92251,0.72119,0.79397,0.468,1.13142,0.0071092,0.0071092,0.0071092
148,132150,0.90654,0.62749,1.21246,0.88727,0.89278,0.92273,0.72249,0.79522,0.46817,1.13268,0.0070894,0.0070894,0.0070894
149,132908,0.90853,0.6276,1.21302,0.88179,0.90308,0.92304,0.72193,0.79672,0.46927,1.133,0.0070696,0.0070696,0.0070696
150,133667,0.90578,0.62662,1.2131,0.89388,0.89346,0.92262,0.7231,0.79587,0.46761,1.13226,0.0070498,0.0070498,0.0070498
151,134426,0.90903,0.62972,1.21265,0.89048,0.89739,0.9224,0.72368,0.79671,0.46525,1.13253,0.00703,0.00703,0.00703
152,135186,0.9083,0.62962,1.21337,0.88803,0.90092,0.92285,0.72347,0.79838,0.46556,1.1332,0.0070102,0.0070102,0.0070102
153,135945,0.90855,0.62892,1.21317,0.88944,0.89577,0.92216,0.72426,0.79701,0.4655,1.1327,0.0069904,0.0069904,0.0069904
154,136703,0.90536,0.62402,1.21016,0.88889,0.90052,0.92265,0.72265,0.79927,0.46536,1.13579,0.0069706,0.0069706,0.0069706
155,137461,0.90538,0.62349,1.20893,0.886,0.90067,0.92007,0.72188,0.80261,0.46329,1.13819,0.0069508,0.0069508,0.0069508
156,138217,0.90114,0.62465,1.20747,0.88135,0.90592,0.92172,0.722,0.80071,0.46463,1.13624,0.006931,0.006931,0.006931
157,138975,0.90278,0.62297,1.20809,0.87666,0.90658,0.92251,0.72259,0.7984,0.4629,1.13561,0.0069112,0.0069112,0.0069112
158,139737,0.90406,0.62245,1.20866,0.87163,0.90939,0.9234,0.72143,0.7986,0.46302,1.13487,0.0068914,0.0068914,0.0068914
159,140498,0.90096,0.62285,1.20702,0.87693,0.90654,0.92336,0.72139,0.8016,0.46503,1.13813,0.0068716,0.0068716,0.0068716
160,141256,0.89567,0.61742,1.20667,0.89403,0.88271,0.91908,0.72105,0.8023,0.4657,1.13847,0.0068518,0.0068518,0.0068518
161,142017,0.8999,0.62036,1.20671,0.90374,0.87043,0.91792,0.72007,0.80187,0.4688,1.13597,0.006832,0.006832,0.006832
162,142778,0.90282,0.6231,1.20789,0.90137,0.86925,0.91781,0.71978,0.80176,0.46896,1.13722,0.0068122,0.0068122,0.0068122
163,143538,0.89991,0.62024,1.20809,0.9049,0.86925,0.91777,0.72029,0.80512,0.46958,1.13997,0.0067924,0.0067924,0.0067924
164,144297,0.89831,0.61588,1.20553,0.90324,0.86858,0.91794,0.72007,0.80415,0.46795,1.13975,0.0067726,0.0067726,0.0067726
165,145056,0.89682,0.61804,1.20547,0.90264,0.86993,0.9178,0.72011,0.8061,0.46587,1.14388,0.0067528,0.0067528,0.0067528
166,145816,0.89704,0.61393,1.20549,0.89909,0.87454,0.91841,0.71983,0.80519,0.46525,1.14311,0.006733,0.006733,0.006733
167,146573,0.89952,0.61606,1.2066,0.89556,0.87377,0.91789,0.7205,0.80548,0.4667,1.14228,0.0067132,0.0067132,0.0067132
168,147331,0.89783,0.6164,1.20579,0.89026,0.87879,0.91782,0.72063,0.80502,0.46668,1.14132,0.0066934,0.0066934,0.0066934
169,148087,0.89677,0.61482,1.20364,0.89318,0.87293,0.91858,0.72156,0.80351,0.46642,1.13837,0.0066736,0.0066736,0.0066736
170,148846,0.89328,0.61422,1.20379,0.89387,0.87777,0.91879,0.72155,0.80363,0.46779,1.13751,0.0066538,0.0066538,0.0066538
171,149604,0.89021,0.61028,1.20123,0.89542,0.87927,0.91885,0.72138,0.80284,0.46867,1.13778,0.006634,0.006634,0.006634
172,150358,0.89009,0.60942,1.20002,0.89759,0.87385,0.91939,0.72123,0.80348,0.46851,1.13786,0.0066142,0.0066142,0.0066142
173,151115,0.89035,0.61066,1.20131,0.89351,0.8757,0.91902,0.72174,0.80097,0.46808,1.13507,0.0065944,0.0065944,0.0065944
174,151875,0.8888,0.61076,1.19978,0.89974,0.86851,0.9189,0.72136,0.79997,0.47092,1.13565,0.0065746,0.0065746,0.0065746
175,152633,0.88927,0.61007,1.20009,0.90203,0.86856,0.91979,0.72135,0.79895,0.47013,1.13386,0.0065548,0.0065548,0.0065548
176,153392,0.89516,0.61222,1.20105,0.89999,0.87086,0.91913,0.72118,0.79807,0.46875,1.13143,0.006535,0.006535,0.006535
177,154148,0.89082,0.60724,1.1998,0.90965,0.86524,0.92306,0.72235,0.79873,0.4677,1.1314,0.0065152,0.0065152,0.0065152
178,154909,0.88689,0.60745,1.19727,0.89478,0.88332,0.92236,0.72158,0.79896,0.46679,1.13193,0.0064954,0.0064954,0.0064954
179,155666,0.88919,0.6051,1.19692,0.88719,0.88966,0.92155,0.7227,0.79858,0.46767,1.13117,0.0064756,0.0064756,0.0064756
180,156426,0.89178,0.60546,1.19922,0.88826,0.89187,0.92123,0.72183,0.79956,0.46911,1.13049,0.0064558,0.0064558,0.0064558
